# T_int(K),TSod_metal_u1.0(K),fluxSod_u1.0(W/(m^2.K)),TSod_metal_u2.0(K),fluxSod_u2.0(W/(m^2.K)),TSod_metal_u3.0(K),fluxSod_u3.0(W/(m^2.K)),TSod_metal_u4.0(K),fluxSod_u4.0(W/(m^2.K))
5.631499999999999773e+02,8.252271236788046735e+02,2.072900665597391548e+06,8.213673262199881719e+02,2.280788254137860145e+06,8.185895912071254088e+02,2.419247106884596404e+06,8.164603308032359337e+02,2.520125164463219699e+06
5.881499999999999773e+02,8.414695889551195478e+02,1.991728341420773650e+06,8.385790016278976964e+02,2.201758658529642038e+06,8.364795553775747976e+02,2.342967791769125033e+06,8.348599906919307614e+02,2.446562930740194395e+06
6.131499999999999773e+02,8.536382548998699349e+02,1.880161308480778243e+06,8.518764917193159363e+02,2.089699400505677564e+06,8.505826414076805122e+02,2.232169030569463037e+06,8.495768386490469766e+02,2.337560677428625058e+06
6.381499999999999773e+02,8.631313463930911212e+02,1.749683700944093522e+06,8.614974320151658276e+02,1.947243658761450090e+06,8.602922006147680349e+02,2.081690722988427151e+06,8.593528667207935996e+02,2.181209548545527738e+06
6.631499999999999773e+02,8.730248004622367262e+02,1.624346748898450518e+06,8.714175765155258659e+02,1.809222939672308275e+06,8.702271460717822720e+02,1.934992475427826867e+06,8.692972840919456985e+02,2.028057840270409826e+06
6.881499999999999773e+02,8.831042239342500579e+02,1.502423626383235678e+06,8.816325275178836591e+02,1.675533895022108918e+06,8.805361130628408546e+02,1.793399017233056948e+06,8.796768686378252369e+02,1.880666222709865542e+06
7.131499999999999773e+02,8.937505609551760699e+02,1.386742062741721980e+06,8.923294534529520661e+02,1.547707196883937111e+06,8.912643692992955948e+02,1.657257516056125751e+06,8.904270524172144405e+02,1.738338619473588653e+06
7.381499999999999773e+02,9.046949993515397637e+02,1.275162417938517174e+06,9.033064544487119747e+02,1.423937270658261608e+06,9.022584254237655159e+02,1.525087308372724336e+06,9.014315978108314766e+02,1.599889472876419546e+06
7.631499999999999773e+02,9.162320528692830521e+02,1.169809817196645308e+06,9.149932867047319860e+02,1.307786770608286839e+06,9.140486870846822285e+02,1.401666558214967838e+06,9.132994291989816702e+02,1.471127864231536398e+06
7.881499999999999773e+02,9.284321206958830999e+02,1.071087989130630158e+06,9.272599193905643915e+02,1.198042689502890920e+06,9.263555804667475968e+02,1.284338522029407555e+06,9.256341431850124764e+02,1.348137729037361452e+06
8.131499999999999773e+02,9.410031640510342186e+02,9.767179901366790291e+05,9.399387393074791817e+02,1.093203534183746204e+06,9.391043285713103614e+02,1.172343258438885678e+06,9.384335043377504917e+02,1.230826472554398468e+06
8.381499999999999773e+02,9.539354591111165291e+02,8.865473241209019907e+05,9.529956324298004802e+02,9.929078859541720012e+05,9.522732777621544074e+02,1.065412406909735408e+06,9.516861395703383550e+02,1.119016348153814673e+06
