0,1,2,3,4
563.15,632706.288264879,939984.240567165,1165406.29655145,1342485.25264886
588.15,637522.895084647,945319.747105078,1169986.85520079,1345970.98571606
613.15,631979.392733691,932307.258214241,1149107.97942281,1317502.68252122
638.15,622031.362103442,912593.10557118,1119956.08330183,1279614.811719
663.15,607306.229061898,886449.427523587,1083759.80845225,1234594.062368
688.15,587303.836068401,852898.262540786,1038903.90568262,1180106.70892491
713.15,562319.00880394,812933.397862961,987276.009819007,1118974.74721031
738.15,534169.746912723,768858.802621791,931024.608076881,1052895.37626411
763.15,503289.523977024,721495.982280622,871444.200822356,983855.251213058
788.15,472494.073918187,674680.75027382,813153.060128884,916524.25370916
813.15,441961.220197098,628446.265878309,755578.753877377,850154.104924058
838.15,412981.470397432,584478.912187516,700712.847409167,786803.181470142
