index,epy (MWh/year),capf (%),lcoe ($/MWh),srev ($)
0,161.201937615,36.8040953458,149.46210924,7619.06544205
1,174.406139706,39.8187533575,139.515723897,8238.16824799
2,186.639896974,42.6118486243,131.650394451,8770.85307241
3,198.520964509,45.3244211207,124.974374077,9261.55412907
4,209.901911024,47.922810736,119.335981184,9726.03100448
5,221.049788096,50.4679881498,114.398063649,10164.7843426
6,231.659069616,52.8901985424,110.18987944,10565.914708
7,242.176107759,55.2913488033,106.390768331,10957.3068355
8,251.749407117,57.4770335883,103.293666895,11299.5768222
9,261.494991705,59.7020529008,100.357320239,11628.494472
10,270.728838107,61.8102370107,97.8165238414,11926.0253092
11,227.766822194,34.6677050524,118.90921158,10846.5232634
12,245.344824367,37.3432000559,111.849920444,11658.0693666
13,261.413830762,39.7890153367,106.344889409,12357.3283693
14,275.870970015,41.989493153,102.070365565,12950.7995506
15,289.458989186,44.0576848076,98.516465749,13491.7233877
16,301.282494788,45.8573051428,95.8392967697,13952.0636406
17,312.540663871,47.5708773015,93.5331994984,14374.7006553
18,322.688093882,49.1153871966,91.7020325879,14740.5600895
19,331.737356275,50.4927482914,90.2803961329,15036.6117863
20,338.992998394,51.5971078225,89.4048134204,15259.8242386
21,345.546715139,52.5946293971,88.7458345409,15461.4080763
22,277.437279883,31.6709223611,108.397706702,13236.529663
23,296.772769952,33.8781700859,102.944752463,14179.9189196
24,312.814337373,35.7093992435,99.1924924177,14822.5643166
25,326.439495788,37.2647826241,96.5154910547,15420.7594439
26,337.169701627,38.4896919666,94.8605480528,15823.0137249
27,345.798994181,39.4747710252,93.8745851695,16098.8460479
28,352.3045234,40.2174113471,93.4968738419,16399.7546537
29,357.353624123,40.7937927081,93.5124307411,16552.8459319
30,361.153496829,41.2275681311,93.851065464,16693.9578794
31,364.052250651,41.5584761017,94.4157737235,16787.5097352
32,365.093510568,41.677341389,95.4547488788,16817.9083431
33,297.40411363,27.1601930255,111.173837279,14390.267319
34,314.420133497,28.7141674426,107.056120166,15147.9431621
35,326.500305259,29.8173794757,104.923769141,15657.677469
36,336.000819248,30.685006324,103.733930742,16068.326464
37,342.790134897,31.3050351504,103.421088192,16350.1051448
38,346.664187202,31.6588298814,103.987585574,16492.9584151
39,349.591495709,31.9261639916,104.824674917,16630.4883271
40,351.745908324,32.1229140022,105.880003348,16709.2258925
41,353.644754645,32.2963246251,106.999751907,16829.6393879
42,355.309997888,32.4484016336,108.178616696,16862.095035
43,356.911154185,32.594625953,109.36611723,17042.4624358
